Viti,Muaji,Pershkrimi,Statusi,Komuna,Tatimpaguesit,Blerjet dhe importet investive pa TVSH,Blerjet dhe importet investive me TVSH jo te zbritshme,Importet investive me norme 18%,Importet investive me norme 8%,Blerjet investive vendore me norme 18%,Blerjet investive vendore me norme 8%
2019,1,1,17,19,2,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,20,19,11,0.0,0.0,0.0,0.0,17220.36,0.0
2019,1,1,5,20,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,20,20,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,5,21,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,20,21,4,0.0,0.0,0.0,0.0,2729.68,0.0
2019,1,1,5,22,10,0.0,0.0,368.5,0.0,0.0,0.0
2019,1,1,20,22,11,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,22,22,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,5,23,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,5,24,27,42433.0,0.0,0.0,0.0,151048.09,0.0
2019,1,1,17,24,6,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,20,24,22,23870.1,0.0,0.0,0.0,25416.56,1065.0
2019,1,1,5,25,8,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,20,25,7,0.0,0.0,0.0,0.0,634.54,0.0
2019,1,1,5,26,178,0.0,0.0,17000.45,1909.33,42697.52,0.0
2019,1,1,7,26,2,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,17,26,12,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,22,26,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,5,27,84,8942.46,0.0,0.0,0.0,39125.29,0.0
2019,1,1,17,27,3,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,20,27,51,4040.0,0.0,12292.16,0.0,56233.89,437.73
2019,1,1,5,28,8,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,20,28,6,334228.78,0.0,2200.0,0.0,0.0,0.0
2019,1,1,5,30,4,0.0,0.0,0.0,0.0,4869.97,0.0
2019,1,1,5,31,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,7,31,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,20,31,6,0.0,0.0,0.0,0.0,982.2,0.0
2019,1,1,5,32,3,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,20,32,2,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,5,33,10,15035.0,0.0,0.0,0.0,152.54,0.0
2019,1,1,17,33,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,20,33,5,0.0,0.0,0.0,0.0,40503.46,0.0
2019,1,1,22,33,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,5,34,5,0.0,0.0,0.0,0.0,28289.83,0.0
2019,1,1,20,34,4,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,5,35,15,0.0,0.0,0.0,0.0,1616.49,0.0
2019,1,1,20,35,4,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,3,20,0,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,3,5,2,7,0.0,0.0,0.0,0.0,1254.0,0.0
2019,1,3,20,2,3,555.0,0.0,0.0,0.0,21935.35,0.0
2019,1,3,5,3,6,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,3,20,3,3,0.0,0.0,0.0,0.0,1306.16,0.0
2019,1,3,5,4,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,3,20,4,3,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,3,5,5,3,0.0,0.0,0.0,0.0,749.15,0.0
2019,1,3,20,5,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,3,22,5,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,3,5,6,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,3,20,6,1,0.0,0.0,0.0,0.0,87.31,0.0
2019,1,3,5,7,4,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,3,20,7,2,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,3,5,13,2,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,3,5,16,3,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,3,5,19,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,3,13,19,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,3,20,19,2,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,3,5,24,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,3,13,24,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,3,20,24,6,0.0,0.0,0.0,0.0,19915.25,0.0
2019,1,3,5,25,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,3,5,26,79,0.0,8385.0,0.0,0.0,16572.23,0.0
2019,1,3,12,26,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,3,17,26,3,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,3,20,26,49,0.0,11228.0,1675.0,0.0,90904.84,0.0
2019,1,3,22,26,4,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,3,20,27,12,0.0,0.0,0.0,0.0,205373.5,462.04
2019,1,3,5,30,2,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,3,20,34,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,3,5,35,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,4,5,0,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,4,5,2,8,1597.1,0.0,0.0,0.0,33.9,394.06
2019,1,4,20,2,9,1093.26,0.0,0.0,0.0,0.0,0.0
2019,1,4,5,3,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,4,20,3,9,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,4,5,4,11,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,4,14,4,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,4,20,4,5,0.0,119.0,0.0,0.0,0.0,0.0
2019,1,4,5,5,3,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,4,20,5,3,0.0,36040.24,0.0,0.0,0.0,0.0
2019,1,4,5,6,4,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,4,20,6,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,4,5,7,3,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,4,20,7,10,0.0,695.0,0.0,0.0,0.0,0.0
2019,1,4,5,9,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,4,20,9,1,0.0,6496.84,0.0,0.0,0.0,0.0
2019,1,4,20,12,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,4,5,13,2,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,4,20,13,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,4,5,16,2,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,4,20,16,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,4,5,17,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,4,20,17,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,4,5,19,6,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,4,20,19,3,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,4,20,20,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,4,5,22,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,4,22,22,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,4,5,24,6,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,4,17,24,2,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,4,20,24,2,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,4,5,25,2,0.0,0.0,0.0,0.0,0.0,0.0
